com_id,common_name,scientific_name,genus,family,date_planted,age_description,latitude,longitude
1053010,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78146568,144.9534033
1053011,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78140767,144.9534707
1053014,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78145939,144.953482
1053016,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78145812,144.953522
1053027,Red Box,Eucalyptus polyanthemos,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78151552,144.954466
1053039,Drooping sheoak,Allocasuarina verticillata,Allocasuarina,Casuarinaceae,1/01/1900,Mature,-37.78162485,144.9541001
1053042,Red Box,Eucalyptus polyanthemos,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7815283,144.9539783
1053047,Black Wattle,Acacia mearnsii,Acacia,Fabaceae,1/01/1900,Mature,-37.78155412,144.9541932
1053064,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78232114,144.9550654
1053065,Ironbark,Eucalyptus sideroxylon,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78225401,144.9550549
1053070,Yellow Gum,Eucalyptus leucoxylon,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78253546,144.9549544
1053073,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78257072,144.955049
1053089,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78248444,144.9570306
1053093,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78239565,144.9570064
1053096,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78230626,144.9571129
1053101,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78222077,144.9570573
1053102,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78220623,144.9571024
1053108,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78213125,144.9571541
1053115,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7819849,144.9572417
1053118,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7820798,144.9568481
1053125,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78200096,144.956776
1053131,Red Box,Eucalyptus polyanthemos,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78176069,144.9571337
1053137,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78181932,144.9571914
1053138,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78180841,144.9572268
1053141,River red gum,Eucalyptus camaldulensis,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.781748,144.9572333
1053149,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.7825363,144.9543538
1053153,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78252473,144.9542571
1053156,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78243824,144.954291
1053161,Red Box,Eucalyptus polyanthemos,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78247527,144.9541931
1053163,Yellow Box,Eucalyptus melliodora,Eucalyptus,Myrtaceae,1/01/1900,Mature,-37.78242644,144.9542566
